"","Pick","ADP.WAV.S","ADP_WAV","griddyav","wav2022","wav2021","wav2020","wav2019","wav2018","drafted_2022","drafted_2021","drafted_2020","drafted_2019"
"32",32,5.52,55.2,165.6,55.2,44.16,33.12,22.08,11.04,110.4,66.24,33.12,11.04
"33",33,5.35,53.5,160.5,53.5,42.8,32.1,21.4,10.7,107,64.2,32.1,10.7
"34",34,5.32,53.2,159.6,53.2,42.56,31.92,21.28,10.64,106.4,63.84,31.92,10.64
"35",35,5.26,52.6,157.8,52.6,42.08,31.56,21.04,10.52,105.2,63.12,31.56,10.52
"36",36,5.18,51.8,155.4,51.8,41.44,31.08,20.72,10.36,103.6,62.16,31.08,10.36
"37",37,5.14,51.4,154.2,51.4,41.12,30.84,20.56,10.28,102.8,61.68,30.84,10.28
"38",38,5.06,50.6,151.8,50.6,40.48,30.36,20.24,10.12,101.2,60.72,30.36,10.12
"39",39,5,50,150,50,40,30,20,10,100,60,30,10
"40",40,4.93,49.3,147.9,49.3,39.44,29.58,19.72,9.86,98.6,59.16,29.58,9.86
"41",41,4.75,47.5,142.5,47.5,38,28.5,19,9.5,95,57,28.5,9.5
"42",42,4.72,47.2,141.6,47.2,37.76,28.32,18.88,9.44,94.4,56.64,28.32,9.44
"43",43,4.67,46.7,140.1,46.7,37.36,28.02,18.68,9.34,93.4,56.04,28.02,9.34
"44",44,4.6,46,138,46,36.8,27.6,18.4,9.2,92,55.2,27.6,9.2
"45",45,4.57,45.7,137.1,45.7,36.56,27.42,18.28,9.14,91.4,54.84,27.42,9.14
"46",46,4.36,43.6,130.8,43.6,34.88,26.16,17.44,8.72,87.2,52.32,26.16,8.72
"47",47,4.3,43,129,43,34.4,25.8,17.2,8.6,86,51.6,25.8,8.6
"48",48,4.28,42.8,128.4,42.8,34.24,25.68,17.12,8.56,85.6,51.36,25.68,8.56
"49",49,4.19,41.9,125.7,41.9,33.52,25.14,16.76,8.38,83.8,50.28,25.14,8.38
"50",50,4.16,41.6,124.8,41.6,33.28,24.96,16.64,8.32,83.2,49.92,24.96,8.32
"51",51,4.14,41.4,124.2,41.4,33.12,24.84,16.56,8.28,82.8,49.68,24.84,8.28
"52",52,4.09,40.9,122.7,40.9,32.72,24.54,16.36,8.18,81.8,49.08,24.54,8.18
"53",53,4.03,40.3,120.9,40.3,32.24,24.18,16.12,8.06,80.6,48.36,24.18,8.06
"54",54,3.99,39.9,119.7,39.9,31.92,23.94,15.96,7.98,79.8,47.88,23.94,7.98
"55",55,3.95,39.5,118.5,39.5,31.6,23.7,15.8,7.9,79,47.4,23.7,7.9
"56",56,3.94,39.4,118.2,39.4,31.52,23.64,15.76,7.88,78.8,47.28,23.64,7.88
"57",57,3.78,37.8,113.4,37.8,30.24,22.68,15.12,7.56,75.6,45.36,22.68,7.56
"58",58,3.76,37.6,112.8,37.6,30.08,22.56,15.04,7.52,75.2,45.12,22.56,7.52
"59",59,3.7,37,111,37,29.6,22.2,14.8,7.4,74,44.4,22.2,7.4
"60",60,3.65,36.5,109.5,36.5,29.2,21.9,14.6,7.3,73,43.8,21.9,7.3
"61",61,3.64,36.4,109.2,36.4,29.12,21.84,14.56,7.28,72.8,43.68,21.84,7.28
"62",62,3.61,36.1,108.3,36.1,28.88,21.66,14.44,7.22,72.2,43.32,21.66,7.22
"63",63,3.56,35.6,106.8,35.6,28.48,21.36,14.24,7.12,71.2,42.72,21.36,7.12
"64",64,3.38,33.8,101.4,33.8,27.04,20.28,13.52,6.76,67.6,40.56,20.28,6.76
"65",65,3.35,33.5,100.5,33.5,26.8,20.1,13.4,6.7,67,40.2,20.1,6.7
"66",66,3.32,33.2,99.6,33.2,26.56,19.92,13.28,6.64,66.4,39.84,19.92,6.64
"67",67,3.29,32.9,98.7,32.9,26.32,19.74,13.16,6.58,65.8,39.48,19.74,6.58
"68",68,3.27,32.7,98.1,32.7,26.16,19.62,13.08,6.54,65.4,39.24,19.62,6.54
"69",69,3.18,31.8,95.4,31.8,25.44,19.08,12.72,6.36,63.6,38.16,19.08,6.36
"70",70,3.12,31.2,93.6,31.2,24.96,18.72,12.48,6.24,62.4,37.44,18.72,6.24
"71",71,3.09,30.9,92.7,30.9,24.72,18.54,12.36,6.18,61.8,37.08,18.54,6.18
"72",72,3.08,30.8,92.4,30.8,24.64,18.48,12.32,6.16,61.6,36.96,18.48,6.16
"73",73,3.05,30.5,91.5,30.5,24.4,18.3,12.2,6.1,61,36.6,18.3,6.1
"74",74,3,30,90,30,24,18,12,6,60,36,18,6
"75",75,2.98,29.8,89.4,29.8,23.84,17.88,11.92,5.96,59.6,35.76,17.88,5.96
"76",76,2.97,29.7,89.1,29.7,23.76,17.82,11.88,5.94,59.4,35.64,17.82,5.94
